Order_ID,Customer_Age,Customer_Type,Restaurant_Type,Cuisine_Type,Delivery_Distance_KM,Delivery_Time_Min,Order_Value_USD,Item_Count,Weather_Condition,Traffic_Level,Customer_Rating,Complaint_Flag,Refund_Flag,Revenue_USD,Profit_USD,City,Month,Quarter,Demand_Score,Churn_Risk
ORD0000013,25,Premium,Restaurant,Italian,2.29,64,297.36,4,Sunny,Low,1.3,0,0,70.51,-1.52,Mumbai,5,2,24.56,2.24
ORD0000014,72,Returning,Restaurant,Italian,20.49,49,91.81,2,Stormy,Low,1.6,0,0,50.76,167.53,London,6,2,97.36,10.48
ORD0000015,37,Returning,Cafe,Chinese,16.82,23,261.2,1,Cloudy,High,1.9,0,0,148.73,94.15,Mumbai,2,1,89.78,24.88
ORD0000016,33,Premium,Cloud Kitchen,Italian,1.26,101,295.96,6,Stormy,High,4.1,0,0,137.71,24.13,New York,2,1,64.1,94.2
ORD0000017,36,Returning,Restaurant,Indian,0.75,58,160.26,14,Sunny,Low,3,0,0,203.73,95.16,New York,5,2,37.5,92.21
ORD0000018,52,New,Restaurant,Indian,23.93,104,112.6,4,Rainy,Low,3.8,0,0,495.19,96.6,London,5,2,42.16,79.56
ORD0000019,69,Returning,Cafe,Indian,17.83,94,282.64,14,Rainy,Low,2.9,0,1,197.14,90.43,Singapore,9,3,85.25,67.76
ORD0000020,50,Returning,Fast Food,Chinese,24.71,113,82.84,3,Cloudy,Medium,2.7,0,0,347.52,166.74,London,8,3,1.79,22.86
ORD0000021,70,Premium,Restaurant,Chinese,13.2,62,255.57,1,Rainy,Medium,2.6,0,0,83.51,156.25,Singapore,5,2,34.56,71.26
ORD0000022,48,New,Cloud Kitchen,Mexican,12.28,29,110.06,13,Rainy,Medium,2.8,0,0,177.3,192.86,New York,9,3,58.19,25.41
ORD0000023,32,New,Restaurant,Chinese,22.01,68,32.31,5,Sunny,Medium,2.4,1,0,114.02,126.12,Singapore,3,1,26.03,74.65
ORD0000024,50,Premium,Cafe,Chinese,5.34,74,120.6,12,Cloudy,High,1.2,0,0,443.43,38.06,Sydney,6,2,13.06,22.01
ORD0000025,26,Returning,Fast Food,Indian,22.99,50,147.89,14,Stormy,Low,1.6,0,0,58.64,58.43,New York,2,1,99.62,5.71
ORD0000026,62,New,Cloud Kitchen,Chinese,20.98,15,237.14,6,Rainy,High,3.9,0,0,372.69,99.9,London,7,3,26.74,67.04
ORD0000027,27,Returning,Restaurant,Indian,8.74,79,249.45,13,Rainy,High,1.9,0,0,414.96,49.86,New York,8,3,90.78,76.45
ORD0000028,59,New,Cafe,Chinese,11.46,22,292.52,6,Stormy,High,1.3,1,0,399.63,4,Sydney,9,3,91.62,25.35
ORD0000029,58,New,Cafe,Indian,11.78,104,191.37,6,Cloudy,Medium,2.9,0,0,352.58,35.67,Mumbai,4,2,34.46,6.12
ORD0000030,27,Returning,Cloud Kitchen,Chinese,13.1,53,129.93,9,Cloudy,High,4.8,0,0,308.59,106.92,Singapore,3,1,55.44,13.62
ORD0000031,66,Premium,Cloud Kitchen,Chinese,8.93,46,278.51,14,Stormy,Medium,4.4,0,0,146.79,162.68,London,3,1,33.95,42.78
ORD0000032,44,Returning,Fast Food,Chinese,16.27,104,26.28,2,Stormy,Medium,2.3,0,0,58.46,98.4,New York,7,3,52.3,39.42
ORD0000033,24,Premium,Cafe,Chinese,15.81,110,289.76,11,Cloudy,Low,3.9,0,0,458.81,74.29,Mumbai,11,4,96.43,42.82
ORD0000034,27,Premium,Restaurant,Chinese,21.18,80,286.76,10,Cloudy,High,4.3,0,0,101.48,191.58,Mumbai,7,3,71.62,13.71
ORD0000035,53,Premium,Cafe,Chinese,20.5,86,158.54,2,Rainy,Medium,3.4,1,1,418.37,142.9,London,10,4,80.84,61.58
ORD0000036,63,Premium,Restaurant,Chinese,24.07,91,168.85,5,Cloudy,High,4.1,0,0,340.93,78.84,Singapore,6,2,71.99,65.92
ORD0000037,36,New,Restaurant,Mexican,2.17,98,176.03,6,Rainy,Low,5,0,0,453.72,-11.45,Singapore,1,1,73.61,72.06
ORD0000038,31,Premium,Fast Food,Indian,9.79,61,146.71,6,Rainy,High,3.8,0,0,409.58,-0.89,Sydney,6,2,52.36,70.74
ORD0000039,66,Premium,Cloud Kitchen,Chinese,20.63,40,37.14,6,Sunny,Medium,3.6,0,0,499.27,57.63,Singapore,9,3,1.65,29.66
ORD0000040,40,Premium,Fast Food,Mexican,12.99,60,233.53,11,Stormy,High,3.8,0,0,243.84,189.71,Singapore,9,3,95.2,33.83
ORD0000041,32,Premium,Cafe,Indian,19.45,59,116.19,13,Cloudy,Medium,1.9,0,0,195.16,149.81,New York,2,1,86.28,94.4
ORD0000042,31,New,Fast Food,Italian,18.8,100,47,4,Cloudy,Low,3,0,0,282.95,25.22,Mumbai,11,4,11.85,45.39
ORD0000043,39,Premium,Cloud Kitchen,Chinese,13.76,106,74.48,2,Stormy,Medium,2.7,0,0,17.19,76.84,Mumbai,7,3,87.84,91.41
ORD0000044,65,New,Cafe,Indian,17.9,54,235.91,14,Cloudy,Low,1.9,0,0,256.3,55.43,Singapore,8,3,86.25,25.66
ORD0000045,54,New,Restaurant,Chinese,12.37,116,189.71,11,Stormy,Medium,3.4,0,0,129.68,-2.86,New York,1,1,93.84,62.2
ORD0000046,51,New,Cafe,Chinese,8.81,116,22.45,6,Stormy,Medium,3,0,0,321.3,95.08,Singapore,7,3,92.17,87.97
ORD0000047,62,New,Fast Food,Chinese,12.39,42,67.8,9,Sunny,Low,2.7,0,0,183.78,121.63,New York,11,4,28.98,71.25
ORD0000048,36,Returning,Cafe,Italian,8.56,23,60.5,10,Cloudy,High,3.1,0,0,128.69,98.25,New York,10,4,95.53,74.42
ORD0000049,28,Premium,Restaurant,Indian,6.1,95,86.33,14,Stormy,High,2.2,0,0,293.82,120.53,New York,3,1,79.7,32.78
ORD0000050,41,Premium,Cafe,Mexican,3.87,74,42.5,11,Stormy,Low,4.2,0,0,151.57,86.71,Singapore,2,1,44.19,90.37
ORD0000051,35,Premium,Cafe,Mexican,16.73,17,61.27,1,Cloudy,Medium,4.3,0,0,322.58,148.53,New York,11,4,55.69,71.72
ORD0000052,25,Premium,Cafe,Italian,19.1,52,210.53,6,Sunny,Medium,4.1,0,0,284.13,19.65,Mumbai,3,1,70.17,83
ORD0000053,63,Returning,Cloud Kitchen,Chinese,14.69,23,298.25,8,Cloudy,High,1.8,0,0,419.46,97.02,Mumbai,1,1,9.7,10.84
ORD0000054,21,Returning,Cafe,Mexican,24.02,25,74.06,8,Sunny,Low,2.3,0,0,130.38,60.15,Sydney,2,1,83.72,95.78
ORD0000055,68,Returning,Fast Food,Indian,11.46,30,210.66,10,Rainy,Low,4.6,0,0,460.18,156.54,Singapore,12,4,30.47,67.32
ORD0000056,44,Returning,Restaurant,Indian,7.2,12,257.33,13,Rainy,Medium,4.7,0,0,304.28,23.76,Mumbai,8,3,58.17,97.7
ORD0000057,71,Premium,Cloud Kitchen,Mexican,1.3,43,94.42,14,Cloudy,Low,4.6,0,0,408.75,144.44,London,6,2,83.98,31.2
ORD0000058,20,New,Cloud Kitchen,Indian,13.96,118,140.25,2,Sunny,High,1.4,0,0,65.58,38.15,Mumbai,10,4,80.13,97.22
ORD0000059,63,Returning,Cloud Kitchen,Chinese,24.36,81,217.85,2,Rainy,Low,4.6,0,0,162.6,187.88,Sydney,5,2,70.79,88.6
ORD0000060,58,New,Restaurant,Italian,24.02,117,128.73,6,Cloudy,High,3,0,0,136.95,82.61,New York,10,4,15.87,58.22
ORD0000061,47,Premium,Cafe,Indian,5.58,119,181.22,11,Cloudy,Medium,4.2,0,0,70.79,26.72,Mumbai,9,3,71.31,28.37
ORD0000062,36,New,Restaurant,Indian,7.2,32,15.27,13,Sunny,Medium,3.7,0,0,468.68,171.94,Sydney,5,2,20.26,34.25
ORD0000063,26,Premium,Cloud Kitchen,Mexican,4,79,11.31,8,Stormy,Medium,1.4,1,0,400.05,20.76,London,4,2,3.63,64.99
ORD0000064,71,Premium,Cafe,Chinese,3.33,107,99.3,14,Cloudy,High,1.9,0,0,72.24,-11.24,London,5,2,82.37,81.89
ORD0000065,64,Premium,Fast Food,Italian,22.52,51,180.77,3,Sunny,Low,4.8,0,0,214.29,66.5,Singapore,9,3,21.84,3.7
ORD0000066,55,Premium,Restaurant,Indian,19.49,77,64.07,5,Cloudy,Low,2.9,0,0,372.13,182.35,New York,3,1,28.87,67.81
ORD0000067,32,Returning,Restaurant,Mexican,21.99,86,150.72,10,Rainy,Medium,2.2,0,0,293.69,128.82,Sydney,12,4,12.33,19.28
ORD0000068,33,New,Fast Food,Italian,22.85,105,52.97,5,Cloudy,Medium,4.9,0,0,115.25,185.77,Mumbai,7,3,82.78,70.66
ORD0000069,66,New,Cafe,Indian,21.48,76,85.82,14,Rainy,High,4.7,0,0,226.29,185.44,Mumbai,6,2,60.66,38.49
ORD0000070,25,Premium,Cafe,Indian,7.54,61,83.02,7,Sunny,High,1.9,0,0,11.56,87.41,Singapore,12,4,96.88,35.6
ORD0000071,27,New,Fast Food,Italian,22.43,45,134.72,12,Cloudy,Low,1.1,0,0,65.01,148.95,Mumbai,12,4,32.38,81.78
ORD0000072,55,Returning,Cafe,Italian,5.79,95,287.39,7,Cloudy,Medium,2.7,0,0,239.19,-13.12,Sydney,5,2,63.38,88.23
ORD0000073,18,Returning,Restaurant,Mexican,21.48,113,272.25,9,Rainy,Medium,2.8,0,0,247.54,58.22,New York,9,3,40.26,2.12
ORD0000074,64,Premium,Cafe,Indian,6.47,10,291.21,2,Cloudy,Medium,3.3,0,0,380.72,125.64,Singapore,5,2,74.7,72.32
ORD0000075,49,Premium,Restaurant,Indian,6.14,69,202.6,9,Stormy,Medium,3.2,0,0,318.57,107.1,London,10,4,74.96,18.9
ORD0000076,29,Returning,Restaurant,Indian,12.69,70,197.87,11,Rainy,High,1.4,0,0,469.93,89.57,Singapore,6,2,25.55,23.44
ORD0000077,41,New,Fast Food,Italian,6.43,115,242.78,1,Rainy,High,2.6,0,0,41.54,65.04,Mumbai,6,2,11.43,25.38
ORD0000078,23,New,Restaurant,Chinese,23.18,107,255.37,2,Cloudy,Low,3.5,0,0,148.06,20,Sydney,4,2,70.26,42.98
ORD0000079,57,Returning,Cafe,Italian,24.92,100,51.65,11,Sunny,Low,1.4,0,0,497.61,67.16,Mumbai,12,4,8.38,95.36
ORD0000080,58,Premium,Restaurant,Indian,2.96,105,236.94,8,Sunny,Low,2.4,0,0,294.61,120.09,Singapore,8,3,9.31,62.36
ORD0000081,73,New,Fast Food,Chinese,21.72,107,156.94,14,Rainy,High,2.4,0,0,273.35,-9.26,London,6,2,19.82,23.9
ORD0000082,51,Returning,Cloud Kitchen,Italian,21.18,74,23.42,4,Sunny,Medium,4.2,0,0,382.23,142.96,Sydney,1,1,23.01,52.67
ORD0000083,51,Returning,Cloud Kitchen,Indian,14.61,114,126.87,13,Stormy,High,1.1,0,0,34.01,-16.92,Mumbai,10,4,36.93,48.47
ORD0000084,69,Premium,Fast Food,Indian,24.75,67,8.12,12,Stormy,Medium,3.3,0,0,380.56,114.57,New York,2,1,5.85,85.33
ORD0000085,26,New,Cafe,Chinese,7.32,61,146.7,9,Sunny,Medium,1.6,0,1,238.22,88.58,Singapore,4,2,6.08,12.45
ORD0000086,60,Returning,Restaurant,Italian,14.11,64,14.57,4,Cloudy,Low,4,0,0,453.82,199.7,Sydney,8,3,54.5,30
ORD0000087,64,Returning,Restaurant,Italian,0.74,66,232.8,11,Rainy,Medium,4.8,0,0,469.11,151.9,Sydney,1,1,83.23,83.02
ORD0000088,61,New,Fast Food,Italian,24.88,78,124.23,8,Cloudy,Low,3.7,0,0,263.92,49.47,New York,1,1,63.78,48.57
ORD0000089,64,Returning,Fast Food,Chinese,18.08,114,231.91,11,Cloudy,High,3.9,0,1,177.49,80.82,Sydney,2,1,91.34,88.35
ORD0000090,74,Returning,Cloud Kitchen,Indian,1.39,13,50.62,3,Sunny,Low,4,1,0,329.92,4.7,Mumbai,6,2,66.26,67.14
ORD0000091,53,New,Restaurant,Italian,20.25,50,230.94,6,Sunny,High,4.9,1,0,348.76,37.35,Singapore,5,2,32.13,92.98
ORD0000092,25,New,Cafe,Chinese,9.94,101,62.8,9,Sunny,High,4.4,0,0,92.03,26.41,Singapore,1,1,18.71,55.37
ORD0000093,70,Returning,Restaurant,Indian,4.95,58,192.48,10,Rainy,High,3.8,0,0,23.31,93.57,Sydney,8,3,52.03,22.32
ORD0000094,18,Returning,Cafe,Mexican,24.77,86,14.89,6,Rainy,High,1.8,1,0,307.19,178.15,Singapore,12,4,30.54,45.52
ORD0000095,35,Returning,Restaurant,Indian,11.96,99,55.01,8,Cloudy,High,3.8,0,0,376.52,75.76,London,10,4,38.63,42.94
ORD0000096,41,Returning,Fast Food,Mexican,0.58,47,242.77,2,Rainy,Medium,1.5,0,0,322.38,72.41,Mumbai,12,4,88.7,21.9
ORD0000097,60,New,Cloud Kitchen,Italian,6.41,92,109.61,9,Stormy,High,2.8,1,0,171.83,113.72,New York,7,3,96.53,62.58
ORD0000098,41,Premium,Cloud Kitchen,Italian,5.09,95,71.44,4,Cloudy,High,4.1,0,0,90.92,171.82,Singapore,1,1,69.93,41.64
ORD0000099,69,Premium,Fast Food,Mexican,16.95,112,114.84,12,Cloudy,High,1.4,0,0,393.17,33.29,London,11,4,33.21,82.07
ORD0000100,59,Returning,Cloud Kitchen,Mexican,10.25,66,60.33,13,Sunny,Low,3.4,0,0,259.58,66.5,New York,5,2,52.32,31.82
ORD0000101,27,Returning,Cloud Kitchen,Chinese,2.56,12,234.96,9,Sunny,Medium,3.9,0,0,51.04,124.81,Mumbai,6,2,13.67,14.24
ORD0000102,18,Premium,Fast Food,Indian,10.04,91,177.93,7,Cloudy,High,4.3,1,0,445.97,85.82,Singapore,3,1,77.23,16.09
ORD0000103,49,New,Cafe,Mexican,8.4,23,182.06,1,Sunny,Medium,2.3,0,0,427.81,-11.25,New York,12,4,47.19,7.29
ORD0000104,49,New,Restaurant,Chinese,8.82,111,217.51,8,Stormy,High,2.7,0,0,382.69,101.62,Sydney,5,2,6.04,78.25
ORD0000105,43,Returning,Cafe,Italian,17.04,20,47.61,1,Cloudy,Low,3.2,0,0,285.4,192.52,New York,12,4,95.74,76.85
ORD0000106,22,Premium,Restaurant,Mexican,4.49,78,52.53,2,Sunny,High,4.8,0,1,92.78,16.37,Sydney,9,3,5.45,52.06
ORD0000107,58,Premium,Fast Food,Indian,10.25,79,240.42,7,Cloudy,Low,3.9,0,0,429.04,98.96,Sydney,11,4,32.1,41.01
ORD0000108,44,Returning,Fast Food,Mexican,15.72,115,233.26,14,Rainy,High,4.5,0,0,473.01,125.84,Singapore,5,2,50.3,80.71
ORD0000109,19,New,Fast Food,Indian,6.71,58,247.02,6,Cloudy,Low,2.8,0,0,20.34,154.74,Sydney,9,3,42.95,24.26
ORD0000110,41,Premium,Cafe,Indian,2.96,65,52.08,1,Rainy,High,3.7,1,0,499.03,16.19,Singapore,9,3,18.96,77.2
ORD0000111,26,Premium,Cafe,Chinese,19.66,96,90.49,13,Sunny,Low,2.3,0,0,499.66,173.33,New York,12,4,20.76,91.72
ORD0000112,54,New,Restaurant,Chinese,16.31,26,142,4,Stormy,Medium,3,0,0,406.39,100.45,Mumbai,1,1,92.53,14.35
ORD0000113,50,Returning,Cloud Kitchen,Indian,1.42,10,264.87,8,Rainy,High,2.2,0,0,401.67,163.72,Singapore,12,4,89.26,44.12
ORD0000114,35,New,Fast Food,Chinese,20.36,79,82.42,9,Stormy,Low,3.4,0,0,397.24,95.9,Mumbai,10,4,93.59,71.97
ORD0000115,29,New,Cafe,Chinese,6.34,112,204.06,4,Sunny,Low,1.9,0,0,472.02,23.39,Mumbai,7,3,29.04,27.54
ORD0000116,32,Premium,Cafe,Italian,16.32,103,27.13,5,Stormy,High,4.7,0,0,189.43,8.12,London,6,2,53.28,48.7
ORD0000117,70,New,Cloud Kitchen,Indian,2.45,25,61.21,11,Rainy,High,2.7,0,1,297.21,149.98,New York,7,3,41.51,3.74
ORD0000118,47,New,Restaurant,Italian,6.78,36,14.05,14,Rainy,Low,1.2,0,0,375.15,190.05,Mumbai,6,2,6.69,27.22
ORD0000119,43,New,Cafe,Indian,11.37,50,261.13,3,Stormy,High,1,0,0,27.97,149.45,Singapore,12,4,40.08,7.96
ORD0000120,48,New,Cafe,Mexican,20.36,38,66.32,2,Sunny,Low,3.6,0,0,345.97,122.23,New York,5,2,38.14,58.2
ORD0000121,50,New,Restaurant,Chinese,24.19,85,195.09,9,Sunny,Medium,4.5,0,0,412.24,63.99,London,2,1,46.17,9.13
ORD0000122,18,New,Cafe,Mexican,5.88,15,80.54,11,Stormy,Low,1.8,0,0,164.1,184.93,Mumbai,10,4,9.05,16.15
ORD0000123,69,Premium,Cafe,Mexican,1.55,94,246.11,2,Stormy,Medium,3.1,0,1,366.57,-16.68,London,1,1,17.73,9.25
ORD0000124,41,New,Cafe,Chinese,18.18,82,296.69,2,Cloudy,High,4.1,0,0,368.46,139.86,Sydney,11,4,7.6,75.01
ORD0000125,49,Premium,Fast Food,Italian,20.89,101,124.59,11,Stormy,Medium,1,0,0,126.65,172.64,Mumbai,3,1,91.26,13.7
ORD0000126,66,Returning,Fast Food,Mexican,22.16,65,45.07,7,Sunny,Medium,4.1,0,0,204.64,21.56,Sydney,7,3,45.54,6.52
ORD0000127,22,Returning,Cafe,Italian,5.26,65,245.56,10,Stormy,Low,4.2,0,0,109.23,123.74,London,1,1,62.81,40.93
ORD0000128,41,Returning,Cloud Kitchen,Chinese,17.24,111,181.24,11,Sunny,Low,3.3,0,0,386.72,27.73,New York,6,2,5.74,18.07
ORD0000129,51,Premium,Restaurant,Chinese,19.01,36,18.98,8,Cloudy,High,1.4,0,0,428.55,188.11,New York,7,3,55.75,7.31
ORD0000130,51,New,Cafe,Italian,5.31,61,294.13,9,Cloudy,Low,4.8,0,0,290.51,71.38,Singapore,1,1,56.06,90.46
ORD0000131,52,New,Cloud Kitchen,Indian,23.48,36,165.52,13,Cloudy,Medium,2.1,0,0,86.18,169.42,Singapore,10,4,96.91,21.47
ORD0000132,40,Premium,Restaurant,Mexican,13.65,82,235.05,1,Stormy,High,3.4,0,0,493.6,61.11,Sydney,11,4,8.04,98.76
ORD0000133,65,Returning,Cafe,Indian,6.83,21,108.41,10,Rainy,Low,3.2,0,0,75.69,-5.92,Mumbai,6,2,78.74,88.27
ORD0000134,55,New,Fast Food,Indian,24.8,47,164.02,2,Sunny,High,4.5,0,0,55.21,141.5,Sydney,3,1,33.4,1.57
ORD0000135,55,Returning,Cafe,Italian,17.1,18,276.68,6,Stormy,Low,1.8,0,0,200.78,26.29,Sydney,4,2,21.82,50.49
ORD0000136,36,New,Fast Food,Indian,6.9,35,297.55,14,Cloudy,Low,2.9,0,0,17.09,28.49,Sydney,2,1,85.32,77
ORD0000137,66,Returning,Cloud Kitchen,Mexican,9.18,34,43.18,2,Stormy,Low,3.7,0,0,447.4,32.31,London,6,2,92.24,10.36
ORD0000138,38,Premium,Restaurant,Chinese,22.01,99,279.5,14,Stormy,Medium,3.5,0,0,459.55,82.67,Singapore,12,4,71.9,21.82
ORD0000139,35,Premium,Restaurant,Mexican,8.54,19,79.67,2,Rainy,Low,4.6,1,0,7.28,114.64,Sydney,1,1,91.94,70.44
ORD0000140,67,Premium,Fast Food,Italian,4.5,25,81.55,2,Cloudy,Low,1.3,0,1,418.54,78.73,New York,1,1,31.62,42.67
ORD0000141,67,Premium,Cafe,Chinese,7.18,69,189.24,5,Rainy,Low,3.5,0,0,349.2,129.79,Sydney,4,2,55.42,77.53
ORD0000142,44,New,Fast Food,Italian,3.21,81,144.75,14,Rainy,High,3.7,0,0,40.93,148.33,Sydney,1,1,38.91,40.94
ORD0000143,52,Premium,Restaurant,Mexican,13.1,66,191.43,1,Rainy,Low,4.2,1,0,138.74,4.34,London,9,3,16.64,40.41
ORD0000144,74,New,Cloud Kitchen,Mexican,3.92,21,17.24,12,Stormy,High,2.4,0,0,90.12,-1.99,Mumbai,6,2,49.91,20.54
ORD0000145,37,Returning,Fast Food,Indian,0.53,12,14.17,12,Rainy,Medium,1,1,0,359.99,10.23,New York,5,2,60.8,0.14
ORD0000146,46,Premium,Fast Food,Mexican,17.82,105,224.58,4,Stormy,Low,2,0,0,186.55,98.12,Singapore,4,2,42.67,99.98
ORD0000147,58,New,Cloud Kitchen,Indian,11.45,100,136.44,3,Sunny,High,3.6,0,0,434.08,64.49,Singapore,1,1,24.65,75.9
ORD0000148,70,New,Fast Food,Italian,19.18,29,42.71,5,Stormy,Low,4.6,0,0,194.5,17.46,London,5,2,6.68,69.55
ORD0000149,62,Returning,Cloud Kitchen,Indian,0.6,52,183.13,4,Sunny,Medium,3.4,0,0,275.5,13.76,London,4,2,96.24,68.11
ORD0000150,57,New,Cafe,Indian,11.64,35,64.38,9,Rainy,High,4.1,0,0,327.65,16.6,New York,7,3,67.5,64.49
ORD0000151,30,New,Cloud Kitchen,Indian,2.45,83,82.72,4,Cloudy,Medium,3.4,0,0,414.58,-1.57,Mumbai,2,1,30.58,42.87
ORD0000152,24,Premium,Restaurant,Chinese,6.18,112,277.75,1,Rainy,High,2.7,0,0,351.19,24.52,Sydney,6,2,8.44,5.49
ORD0000153,31,Returning,Restaurant,Chinese,8.58,69,147.58,11,Cloudy,Low,4.8,0,0,441.55,8.3,Singapore,4,2,44.52,13.91
ORD0000154,26,Returning,Fast Food,Italian,17.97,34,98.53,7,Sunny,Low,4.3,1,0,307.72,60.78,Singapore,12,4,18.21,93.13
ORD0000155,68,Premium,Cloud Kitchen,Chinese,15.28,84,106.76,10,Cloudy,High,3.6,0,0,240.5,48.03,London,12,4,54.44,77.57
ORD0000156,66,Returning,Restaurant,Mexican,17.89,42,38.47,6,Cloudy,Medium,4.3,0,0,233.71,15.62,New York,8,3,82.03,34.06
ORD0000157,19,Premium,Restaurant,Italian,1.37,37,90.67,4,Stormy,Low,3.4,0,0,74.28,101.03,London,7,3,94.89,78.65
ORD0000158,25,Returning,Restaurant,Italian,3.93,59,24.76,1,Cloudy,Medium,1.8,0,0,362.52,35.76,London,4,2,22.87,54.95
ORD0000159,56,New,Cloud Kitchen,Italian,22.42,115,249.37,1,Cloudy,High,4.2,0,0,171.7,10.36,London,6,2,6.45,63.6
ORD0000160,30,New,Cafe,Indian,6.37,77,251.86,13,Rainy,Low,4.9,1,0,27.24,32.39,New York,3,1,5.72,25.3
ORD0000161,69,New,Restaurant,Chinese,12.34,36,277.35,11,Stormy,Medium,2,0,0,239.68,134.6,Singapore,1,1,31.2,11.19
ORD0000162,66,Premium,Restaurant,Chinese,4.86,53,172.92,8,Rainy,High,3.6,0,0,346.13,173.29,New York,5,2,41.93,58.57
ORD0000163,44,Premium,Cloud Kitchen,Mexican,18.69,93,254.72,11,Cloudy,High,5,0,0,239.22,174.46,New York,10,4,30.42,21.97
ORD0000164,40,Returning,Restaurant,Italian,5,24,78.58,6,Cloudy,Medium,1.8,0,0,240.56,105.32,Mumbai,10,4,66.51,97.76
ORD0000165,30,New,Cafe,Chinese,12.09,82,176.88,12,Stormy,High,3.6,0,0,283.24,180.31,Sydney,9,3,55.38,20.41
ORD0000166,46,New,Cloud Kitchen,Mexican,7.12,111,5.09,13,Stormy,Low,3.2,0,1,67.66,110.27,London,12,4,1.47,92.27
ORD0000167,39,Returning,Cafe,Indian,18.81,41,47.85,2,Rainy,High,3.7,0,0,16.06,142.47,Sydney,9,3,27.77,86.94
ORD0000168,47,New,Cafe,Mexican,5.1,92,37.43,5,Stormy,Low,4.4,0,0,184.56,160.69,Sydney,4,2,31.25,32
ORD0000169,18,Returning,Fast Food,Chinese,20.62,89,262.51,9,Stormy,Low,3.9,1,0,161.4,-3.62,New York,1,1,36.04,37.74
ORD0000170,59,Returning,Cafe,Indian,14.91,108,133.55,7,Stormy,High,3.7,0,0,315.9,148.04,New York,9,3,1.14,48.64
ORD0000171,32,Premium,Restaurant,Mexican,4.36,36,195.68,12,Rainy,Medium,4.7,0,0,110.03,115.84,London,5,2,8.62,34.65
ORD0000172,26,Premium,Cloud Kitchen,Mexican,23.76,58,121.91,7,Stormy,Low,4.7,0,0,399.89,-3.37,Sydney,9,3,85.15,3.36
ORD0000173,22,New,Restaurant,Chinese,17.24,32,24.79,9,Stormy,Low,3.1,0,0,318.37,183.68,Mumbai,4,2,71.63,52.08
ORD0000174,51,Returning,Cloud Kitchen,Indian,23.8,19,210.57,3,Cloudy,Low,2.2,0,0,396.67,22.99,Mumbai,6,2,28,94.95
ORD0000175,36,New,Fast Food,Chinese,8.88,99,57.44,9,Sunny,Medium,3.6,0,0,235.99,61.37,Sydney,6,2,20.96,62.69
ORD0000176,59,Returning,Cafe,Chinese,7.14,77,191.92,8,Sunny,High,2.8,0,0,421.46,-4.11,New York,1,1,16.67,89
ORD0000177,63,New,Restaurant,Mexican,18.26,61,91.63,10,Stormy,Medium,2.4,0,0,435.26,47.59,Mumbai,1,1,93.15,34.22
ORD0000178,58,Premium,Cloud Kitchen,Mexican,19.08,63,138.57,3,Stormy,Medium,3.3,0,0,244.48,120.63,Mumbai,10,4,72.84,20.08
ORD0000179,72,Premium,Cafe,Indian,18.33,100,196.66,2,Stormy,High,2.8,0,0,29.72,4.91,Sydney,7,3,89.85,85.13
ORD0000180,51,New,Restaurant,Mexican,23.92,83,29.95,2,Sunny,High,4.5,0,0,479.3,66.72,Singapore,3,1,23.73,55.95
